,fullTitle,subjects,holdings
178,Inside styles : beyond the basics : questions and answers on style / by Anthony F. Gregorc.,"Typology (Psychology), Educational psychology, Style (Philosophy)",BF 698.3 .G74 1985
179,Zhongguo gao ji ming li ao mi : Jie kai ming li di lu shan zhen mian mu / Nan Yingdian zhu.,"Astrology, Chinese",BF 1714 .C5 N25 1981
180,"Childhood & adolescence : a psychology of the growing person / L. Joseph Stone, Joseph Church.","Child development, Adolescent psychology",BF 721 .S82 1973
181,The philosophy of positive life.,"Psychology, Applied",BF 636 .S92x 1963
182,"Autour du ""Malaise dans la culture"" de Freud / par Jacques Le Rider ... [et al.].","Freud, Sigmund, 1856-1939. Unbehagen in der Kultur",BF 173 .F889 A98 1998
183,"The MMPI, an interpretive manual / by Roger L. Greene.",Minnesota Multiphasic Personality Inventory,BF 698.8 .M5 G74
184,"Beginning with ourselves in practice, theory, and human affairs / David E. Hunt.","Experiential learning, Success",BF 318.5 .H86 1987
185,"Psychosexual development in health and disease : the proceedings of the thirty-eighth annual meeting of the American Psychopathological Association, held in New York City, June 1948 / edited by Paul H. Hoch and Joseph Zubin.",Sex (Psychology) -- Congresses,BF 692 .A53 1948
186,"A Godless Jew : Freud, atheism, and the making of psychoanalysis / Peter Gay.","Freud, Sigmund, 1856-1939 -- Religion, Psychoanalysis and religion, Atheism",BF 173 .F85 G38 1987
187,"Cognetics : thinking skills in language arts and social sciences / by Judith E. Burr, Theodore J. Gourley, Rebecca C. McDonnel.","Cognition in children -- Study and teaching, Cognition -- Study and teaching",BF 723 .C5 B877x 1991
188,Motivation and emotion / Phil Evans.,"Motivation (Psychology), Emotions",BF 503 .E94 1989
189,Wanting more : the challenge of enjoyment in the age of addiction / Mark Chamberlain.,Quality of life,BF 637 .C5 C472 2000
190,Meaningfulness and verbal learning / Benton J.Underwood and Rudolph W. Schulz.,"Meaning (Psychology), Learning, Psychology of",BF 455 .U5
191,"Self-directed behavior : self-modification for personal adjustment / David L. Watson, Roland G. Tharp.","Behavior modification, Success",BF 637 .B4 W38
192,Cluster analysis of person perception : a grid approach to student-faculty interaction / by Michael C. Hillard.,"Self-perception -- Testing, Brigham Young University -- Faculty, Brigham Young University -- Students",BF 18.022 .H55
193,Der Geniebegriff des Aufklärungszeitalters : (Lessing und die Popularphilosophen) / von B. Rosenthal.,"Genius, Enlightenment, Lessing, Gotthold Ephraim, 1729-1781",BF 412 .R55 1967
194,Empowered writing : exorcistic and apotropaic rituals in medieval China / Stephan Peter Bumbacher.,"Talismans -- China -- History, Exorcism -- China -- History, Chinese language -- Writing -- Religious aspects -- History",BF 1561 .B86 2012
195,Legal offenders and residual schizophrenics : volunteer therapeutic agents in a state hospital setting / by Gerald A. Berge.,"Volunteer workers in mental health, Mentally ill -- Care",None
196,Living with fear : understanding and coping with anxiety / Isaac M. Marks.,"Fear, Anxiety, Behavior therapy",BF 575 .F2 M37
197,"Handbook of parapsychology / Benjamin B. Wolman, editor ; Laura A. Dale, Gertrude R. Schmeidler, Montague Ullman, associate editors.","Parapsychology, Parapsychology -- Research",BF 1031 .H254
198,An illustrated lesson in hypnotism / by L. A. Harraden.,Hypnotism,BF 1141 .H37x 1898
199,How to give hypnotic exhibitions : with history of hypnotism.,Hypnotism,BF 1141 .H365x 1900
200,Complete illustrated course of twenty lessons in magnetic healing / by L.A. Harraden.,Hypnosis,BF 1141 .H36x 1899
201,None,None,None
202,Interpreting psychological test data / Joseph Gilbert.,"Personality assessment, Bender-Gestalt Test, Draw-A-Person Test, Wechsler Adult Intelligence Scale, Rorschach Test",BF 698.4 .G46 vol.1
203,Zhongguo gu dai she hui de wu xi / Wen Yongsheng zhu.,"Witchcraft -- China -- History, China -- Social conditions",BF 1584 .C5 M86 1999
204,"La recherche en psychologie scientifique : état actuel dans les pays industrialisés et les pays en développement / Mark R. Rosenzweig, Durganand Sinha.","Psychology -- Research, Psychology -- Research -- Developing countries",BF 76.5 .R68x 1988
205,Create a powerful life plan! : 3 simple steps to your ideal life / Connie E. Sokol.,"Mormon women -- Conduct of life, Success -- Psychological aspects, Achievement motivation in women, Goal (Psychology)",BF 637 .S8 .S657 2013
206,"Fantasy, myth, and reality : essays in honor of Jacob A. Arlow / edited by Harold P. Blum ... [et al.].","Fantasy, Subconsciousness, Identity (Psychology), Psychology, Pathological, Psychology, Religious, Arlow, Jacob A",BF 175.5 .F36 F36 1988
207,Race awareness in young children / Mary Ellen Goodman ; with introd. by Kenneth B. Clark.,"Race awareness, Child psychology, United States -- Race relations",BF 723 .R3 G6
208,"The counsellor's guide to personality : understanding preferences, motives and life stories / Rowan Bayne.","Personality, Counseling, Personality assessment, Psychotherapy",BF 698 .B39x 2013
209,On seeing forms / William R. Uttal.,"Form perception, Visual perception",BF 241 .U854 1988
210,"Evolution of emotional communication : from sounds in nonhuman mammals to speech and music in man / ed. by Eckart Altenmüller, Sabine Schmidt, Elke Zimmermann.","Interpersonal communication, Animal communication, Language and emotions, Emotive (Linguistics), Affective neuroscience",BF 637 .C45 E85x 2013
211,Personality traits / Gerald Matthews and Ian J. Deary.,Personality,BF 698 .M3434 1998
212,Connections between sex and aggression / Dolf Zillmann.,"Sex (Psychology), Sex (Biology), Aggressiveness",BF 692 .Z54 1983
213,"Psychological profiles of conjoined twins : heredity, environment, and identity / J. David Smith.","Nature and nurture, Conjoined twins -- Psychology, Conjoined twins -- Case studies",BF 346 .S5 S65 1988
214,Spiritualist thought / edited with an introduction by Gary L. Ward.,"Spiritualism -- United States, Spirit writings",BF 1261.2 .S65 1990
215,"The measurement of affect, mood, and emotion : a guide for health-behavioral research / Panteleimon Ekkekakis.","Affect (Psychology), Emotions, Emotions -- Health aspects, Affect, Behavioral Research, Health behavior",BF 511 .E37 2013
216,Developmental processes : Heinz Werner's selected writings / edited by Sybil S. Barten and Margery B. Franklin.,"Cognition in children, Psycholinguistics, Symbolism (Psychology), Children with mental disabilities, Brain-damaged children",BF 723 .C5 W47 1978 vol.1
217,The Movement / edited with an introduction by Gary L. Ward.,Spiritualism -- United States,BF 1242 .U6 M68 1990
218,The Beginnings of astrology in America : astrology and the re- emergence of cosmic religion / edited with an introduction by James R. Lewis.,"Astrology, American, Cults -- United States, Occultism -- Religious aspects",BF 1729 .R4 B45 1990
219,Rosicrucianism in America / edited with an introduction by J. Gordon Melton.,"Rosicrucians, Rosicrucians -- United States",BF 1623 .R7 R67 1990
220,"Crossings : everyday people, unexpected events, and life-affirming change / Richard A. Heckler.","Life change events -- Psychological aspects, Life change events -- Psychological aspects -- Case studies, Change (Psychology), Spiritual life",BF 637 .L53 H43 1998
221,"The evolution of mind / edited by Denise Dellarosa Cummins, Colin Allen.","Cognition, Behavior evolution, Cognition and culture, Psychology, Comparative, Genetic psychology",BF 311 .E876 1998
222,"Leavetaking : when and how to say goodbye / by Mortimer R. Feinberg, Gloria Feinberg, John J. Tarrant.",Separation (Psychology),BF 575 .G7 F44
223,Century of insight : the twentieth century enlightenment of the mind / Derry Macdiarmid ; edited by Sue Macdiarmid.,"Psychoanalysis, Subconsciousness",BF 173 .M33x 2013
224,The key to astrology : containing a complete system of genethliacal astrology / by Raphael.,Astrology,BF 1701 .R365x
225,"Animal models of human psychology : critique of science, ethics, and policy / by Kenneth Joel Shapiro.","Psychology, Comparative, Human behavior -- Animal models, Animal experimentation -- Moral and ethical aspects, Animal psychology",BF 671 .S48 1998
226,Temporal shifts in hemispheric dominance : hand and sex differences in tactile neural code transfer / by Thomas C. Davis.,"Neuropsychology, Cerebral dominance, Sex differences, Cognition",None
227,"Action, perception and the brain : adaptation and cephalic expression / edited by Jay Schulkin.","Social perception -- Philosophy, Neurosciences -- Philosophy",BF 323 .S63 N48 2012
228,Alone in the mirror : twins in therapy / Barbara Klein.,"Twins -- Psychology, Sibling attachment, Therapist and patient, Attachment behavior",BF 723 .T9 K54 2012
229,"The brain : big bangs, behaviors, and beliefs / Rob DeSalle & Ian Tattersall ; illustrated by Patricia J. Wynne.","Cognition, Neurophysiology, Brain -- Evolution",BF 311 .D466 2012
230,The courage quotient : how science can make you braver / Robert Biswas-Diener.,"Courage, Fear",BF 575 .C8 B57 2012
231,Toward a psychology of persons / edited by William E. Smythe.,Psychology,BF 121 .T67 1998
232,The education of feeling and emotion / Francis Dunlop.,Emotions -- Study and teaching,BF 531 .D86 1984
233,Fringe-ology : how I tried to explain away the unexplainable--and couldn't / Steve Volk.,"Parapsychology, Supernatural",BF 1031 .V65 2011
234,The canon : an exposition of the pagan mystery perpetuated in the Cabala as the rule of all the arts / with a preface by R. B. Cunninghame Graham.,"Cabala, Symbolism",BF 1999 .S76 1894
235,Face perception / Vicki Bruce and Andy Young.,"Face perception, Facial expression",BF 242 .B74 2012
236,The intelligence paradox : why the intelligent choice isn't always the smart one / Satoshi Kanazawa.,"Intellect, Evolutionary psychology",BF 431 .K366 2012
237,"The development of sensory, motor and cognitive capacities in early infancy : from perception to cognition / edited by Francesca Simion, George Butterworth.","Cognition in infants, Motor ability in infants, Perception in infants, Infant psychology, Developmental psychology",BF 720 .C63 D484x 1998
238,"Persuasion : new directions in theory and research / Michael E. Roloff, and Gerald R. Miller, editors.",Persuasion (Psychology),BF 637 .P4 P43
239,The passionate muse : exploring emotion in stories / Keith Oatley.,"Emotions, Psychology and literature, Literature -- Psychology",BF 511 .O377 2012
240,"Vigilance : methods, models, and regulation : proceedings of a workshop held at the Institute for Occupational Medicine of the University of Düsseldorf, Federal Republic of Germany, on 17-19 October 1986, organized with the concerted action on breakdown in human adaptation : performance decrement / edited by Joachim P. Leonard.","Vigilance (Psychology) -- Congresses, Psychophysiology -- Congresses, Chronobiology -- Congresses",BF 323 .V5 V52x 1988
241,"Attentional selection : top-down, bottom-up and history-based biases / Jan Theeuwes, Michel Failing.","Attention, Visual discrimination",BF 321 .T44x 2020
242,The clinical Erik Erikson : a psychoanalytic method of engagement and activation / Stephen Schlein.,"Psychoanalysis, Developmental psychology, Erikson, Erik H. (Erik Homburger), 1902-1994",BF 173 .S356 2016
243,"Death, emotion and childhood in premodern Europe / Katie Barclay, Kimberley Reynolds, Ciara Rawnsley, editors.","Children -- Death -- History -- To 1500, Children -- Europe -- History -- To 1500, Death -- Europe -- History -- To 1500, Emotions (Philosophy) -- History, Europe -- Social life and customs -- To 1500",BF 575 .G7 D427 2016
244,Thinking in the shadow of feelings : a new understanding of the hidden forces that shape individuals and societies / Reuven Bar-Levav.,"Fear, Emotions, Critical thinking, Fear -- Social aspects, Critical thinking -- Social aspects, Psychotherapy",BF 575 .F2 B27 1988
245,Counseling through group process / Joseph Anderson.,Group counseling,BF 637 .C6 A48 1984
246,Biofeedback : a survey of the literature / Francine Butler.,Biofeedback training -- Bibliography,BF319.5 .B5 X52
247,Imaginary landscape / by William Irwin Thompson.,"Cosmology -- Miscellanea, Consciousness -- Miscellanea",BF 1999 .T517 1989
248,"Rethinking psychology : good science, bad science, pseudoscience / Brian M. Hughes.","Psychology, Psychology -- Research -- Methodology",BF 121 .H788 2016
249,"Die Rezeption der Psychoanalyse in der Soziologie, Psychologie und Theologie im deutschsprachigen Raum bis 1940 / Herausgegeben von Johannes Cremerius ; mit Beiträgen von Hans-Dieter Brauns ... [et al.]","Psychoanalysis -- Germany -- History, Psychoanalysis -- Switzerland -- History, Psychoanalysis -- Austria -- History, Sociology, Psychology, Theology",BF171 .R49x
250,"The Iranian metaphysicals : explorations in science, Islam, and the uncanny / Alireza Doostdar.","Islamic occultism, Metaphysics, Uncanny, The (Psychoanalysis), Mysticism -- Islam, Islam and science -- Iran",BF 1434 .I74 D66 2018
251,A celebration of demons : exorcism and the aesthetics of healing in Sri Lanka / Bruce Kapferer.,"Exorcism -- Sri Lanka, Demonology -- Sri Lanka",BF 1559 .K36 1983
